National Center for Education Statistics
Number of students enrolled in postsecondary institutions annually by state

Year,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-21,"25,349,502","375,806","35,858","903,151","188,672","3,572,593","489,149","254,190","77,317","115,364","1,471,225","691,652","79,806","179,184","954,463","578,800","264,030","267,259","322,546","311,550","91,289","464,370","600,613","624,859","537,370","214,450","436,076","57,657","174,965","153,754","271,994","529,333","148,097","1,503,860","697,096","63,392","881,172","262,978","289,147","827,974","92,948","292,734","67,050","409,437","2,129,200","527,429","53,942","716,428","449,956","206,587","400,838","39,892"
2019-20,"26,091,786","386,560","38,825","914,287","198,988","3,711,960","517,784","260,162","77,411","118,241","1,494,060","703,997","80,216","182,559","1,025,734","588,296","277,207","282,526","337,647","312,446","94,435","472,737","622,415","664,986","548,607","215,608","456,080","61,068","176,257","157,572","245,628","542,231","163,246","1,569,821","718,600","65,012","865,664","267,502","308,200","859,129","96,985","298,279","68,911","418,227","2,181,046","515,868","55,709","721,892","485,432","208,327","415,690","41,716"
2018-19,"26,322,620","393,813","42,020","882,235","203,542","3,751,936","506,527","260,917","76,119","117,717","1,506,865","697,198","80,072","189,935","1,057,795","590,093","285,583","289,763","332,156","311,370","93,842","480,327","630,120","687,978","554,998","216,502","475,053","62,289","175,194","158,657","232,247","555,159","169,137","1,596,924","709,602","65,628","860,200","276,067","332,157","868,843","97,502","299,715","72,127","416,392","2,213,882","495,823","56,968","717,069","504,420","204,272","424,908","42,962"
2017-18,"26,421,008","388,078","44,871","853,834","207,434","3,727,425","499,270","259,589","75,185","115,421","1,515,775","686,515","82,720","197,271","1,098,893","539,367","346,318","293,809","329,128","311,493","94,939","480,724","636,368","712,084","565,061","218,782","487,981","63,104","177,617","158,790","216,844","557,379","177,280","1,620,543","711,066","66,481","853,591","282,074","340,786","886,115","98,988","307,410","78,029","412,829","2,209,873","467,291","59,795","713,755","507,922","207,888","433,332","43,891"
2016-17,"26,706,865","395,227","46,469","881,511","211,649","3,712,781","503,069","265,250","77,072","112,551","1,530,331","688,009","85,481","183,178","1,147,389","568,752","357,794","298,060","322,909","315,030","96,156","487,585","644,546","738,978","576,163","222,560","514,318","63,639","179,600","156,818","199,677","561,148","184,786","1,635,632","717,850","66,915","863,540","287,012","344,506","913,579","99,763","309,846","71,640","416,478","2,216,340","438,270","60,546","725,281","511,486","213,934","441,469","44,292"
2015-16,"26,953,976","393,837","49,956","919,541","214,807","3,697,324","500,426","269,832","77,287","112,770","1,536,296","685,088","89,391","172,582","1,208,471","576,057","368,193","305,281","318,014","324,671","96,002","486,059","653,650","773,080","578,217","222,444","531,304","63,673","183,314","157,763","179,414","566,190","189,522","1,664,283","724,653","67,044","886,978","293,241","355,961","927,850","99,691","316,139","70,806","421,830","2,182,573","416,256","57,889","747,006","505,661","225,508","444,017","46,134"
2014-15,"27,410,085","397,074","56,017","996,090","219,516","3,670,050","505,367","273,720","78,656","108,492","1,583,126","694,186","92,467","152,158","1,248,590","601,887","381,101","318,080","332,888","330,806","96,079","487,014","656,899","809,356","591,600","223,358","548,925","64,998","187,984","162,804","155,280","576,771","199,004","1,701,542","743,961","69,419","911,863","300,248","357,385","953,089","100,472","326,112","76,204","428,667","2,157,684","396,318","58,640","769,281","512,598","234,195","463,782","48,282"
2013-14,"27,835,916","404,178","55,691","1,026,351","224,149","3,699,996","515,640","275,955","76,399","111,171","1,622,208","708,801","98,670","156,665","1,302,730","609,508","388,706","324,302","344,374","334,686","97,767","489,251","664,647","846,366","596,674","224,780","564,674","66,590","196,925","165,450","139,512","589,199","210,075","1,703,497","753,577","71,302","937,346","309,393","366,836","974,426","101,082","333,817","73,112","440,813","2,137,284","380,005","58,326","783,037","513,447","241,205","474,718","50,603"
2012-13,"28,300,104","411,484","56,900","1,093,714","230,832","3,559,438","521,207","279,228","76,836","109,723","1,662,956","724,895","100,853","153,975","1,351,608","612,522","532,796","313,173","363,003","341,912","97,771","503,780","665,060","889,954","610,383","229,000","595,492","67,765","202,270","166,501","115,650","591,656","215,000","1,716,887","759,197","69,988","953,163","323,010","375,581","995,021","103,169","338,108","74,478","456,663","2,148,993","380,744","59,867","791,403","516,983","249,953","486,975","52,584"
2011-12,"29,036,155","425,830","61,426","1,182,603","238,179","3,711,379","543,181","279,831","75,012","108,030","1,705,735","745,891","102,755","145,395","1,384,102","618,987","561,244","306,435","379,144","351,939","97,200","516,828","665,047","918,075","619,794","236,771","620,279","69,017","204,448","173,981","104,464","613,056","219,161","1,738,483","761,915","71,616","1,003,624","329,251","382,850","1,025,324","105,323","340,364","74,586","462,764","2,178,086","376,101","60,320","805,099","535,799","246,483","499,514","53,434"
