We have a new website where you can visualize and download CUSP data as well as read our thinking on the policies. Check it out: statepolicies.com,,
,,
,,
"For the latest changes to the database, there is a detailed changelog housed on Github which contains all edits and reviews since July 27, 2020",,
Link to data in xlsx format:,https://github.com/USCOVIDpolicy/COVID-19-US-State-Policy-Database,
Table of Contents,,
Policy Area,Policies,Date of most recent comprehensive review (see changelog for details):
Vaccine Distribution,Date allocation plan last updated,4/22/2021
,Allocation phase: Frontline Healthcare Workers,
,Allocation phase: Healthcare Service Workers,
,Allocation phase: Home Healthcare Workers,
,Allocation phase: Additional Healthcare Workers,
,Allocation phase: Long-term Care Residents,
,Allocation phase: EMS Providers,
,Allocation phase: Firefighters,
,Allocation phase: Law Enforcement & Public Safety Personnel,
,Allocation phase: Correctional Staff,
,Allocation phase: People who are Incarcerated,
,Allocation phase: Residents of Homeless Shelters,
,Allocation phase: Adults Ages 75+,
,Allocation phase: Adults Ages 65+,
,Allocation phase: Adults w/ High-Risk Medical Conditions,
,Allocation phase: Pre-K-12 School Employees,
,Allocation phase: Higher Education Employees,
,Allocation phase: Public Transit Workers,
,Allocation phase: Food Supply Workers,
,Allocation phase: Grocery Store Workers,
,Allocation phase: All Frontline Essential Workers (as defined by ACIP),
,Allocation phase: Additional Essential Workers (as defined by ACIP),
,Allocation phase: General Public,
,Dates adults ages 30-80+ became eligible for vaccination,
,Date K-12 school employees became eligible for vaccination,
,Date grocery store workers became eligible for vaccination,
,Date incarcerated people became eligible for vaccination,
,Date general public became eligible for vaccination,
,Adults ages 65+ prioritized ahead of essential workers,
,Prioritization by race/ethnicity,
,Proof of work eligibility requirement,
,Proof of age eligibility requirement,
,Proof of residency eligibility requirement,
,Penalty for failure to comply with vaccine distribution requirements,
,Expanded scope of practice of certain health providers to administer vaccines,
State of Emergency,State of emergency issued,3/17/2021
,State of emergency expired,
,State of emergency reinstated,
Stay at Home,Stay at home/shelter in place issed,3/17/2021
,Religious gatherings exempt without clear social distance mandate,
,Stay at home order issued but did not specifically restrict movement of the general public,
,Ended/relaxed stay at home/shelter in place,
Closures,Closed K-12 schools,6/7/2021
,Closed day cares,
,Banned visitors to nursing homes,
,Closed other non-essential businesses,
,Closed restaurants,
,Closed gyms,
,Closed movie theaters,
,Closed bars,
,Closed casinos,
,Mention of tribal casinos,
,Cannabis dispensaries considered essential business,
,Closed businesses overnight,
Reopening,Began to reopen businesses statewide,6/7/2021
,Reopened restaurants,
